;JAN;FÉV;MAR;AVR;MAI;JUN;JUI;AOÛ;SEP;OCT;NOV;DÉC;Total
2021;0;0;0,2;0,9;5,1;47,6;0;0;0;0;0;0;53,8
2020;0;0;0;11,5;28,6;57,5;96,6;157;72,3;0;0;0;423,4
2019;0;0;0;5,7;3,2;100,1;152,3;115,6;22,6;4;0;0;403,3
2018;0;0;0;16,1;42,9;74,6;198,7;126,3;33,2;17;0;0;508,7
2017;0;0;0;0;47,2;111,9;108,3;80,5;8,5;2,7;0;0;358,9
2016;0;0;0;0;8,5;37;105,6;121,4;59,1;0;0;0;331,5
2015;0;0;0;2,3;2,8;64,8;139,1;122,4;1;0;0,3;0;332,6
2014;0;0;0;0;2,2;41,3;101,1;35,7;45,8;7,1;0;0;233
2013;0;0;0;3,8;0;29,9;152,1;89,2;27,1;4,3;0;0;306,2
2012;0;0;0;0;30,1;25,6;60,4;117,9;20,4;1,4;0;0;255,6
2011;0;0;0;12,6;21,6;54,1;30,8;74,7;49,8;10,9;0;0;254,5
2010;0;0;0;3,3;16,1;64,3;134,7;59,2;8;4,3;0;0;289,7
2009;0;0;0;0;12,3;45,1;86,7;117,9;15,2;4,8;0;0;281,9